word,count
제안,1
도시,1
사람,1
위로,1
시집,1
이해,1
시인,1
해도,1
마음,1
안정,1
일제강점기,1
여학생,1
일기,1
공개,1
거짓,1
청구,1
보험,1
급여,1
기관,1
복지부,1
홈페이지,1
명단,1
공개,1
조명,1
통일부,1
장관,1
남북,1
고위,1
회담,1
제의,1
동계올림픽,1
개최,1
유입,1
차단하라,1
발생,1
지역,1
가금류,1
반입,1
전면,1
금지,1
양구,1
명품,1
펀치,1
시래기,1
출하,1
물량,1
판매,1
시작,1
적십자사,1
홍보,1
대사,1
안재욱,1
떡국,1
새해,1
시작,1
떡국,1
새해,1
시작,1
안재욱,1
떡국,1
시무,1
적십자사,1
박경서,1
적십자,1
회장,1
직원,1
안재욱,1
홍보,1
대사,1
새해,1
떡국,1
시무,1
떡국,1
새해,1
올해,1
카이스트,1
박용근,1
물리학,1
교수,1
선정,1
평창올림픽,1
성화,1
성남,1
도심,1
달린다,1
새해,1
떡국,1
경찰,1
광주,1
남매,1
사망,1
방화,1
증거,1
적십자사,1
새해,1
떡국,1
나눔,1
시무,1
떡국,1
시작,1
새해,1
통일부,1
조명,1
장관,1
오후,1
발표,1
예고,1
남북,1
회담,1
제안,1
적십자사,1
시무,1
펜스,1
미국,1
부통령,1
이스라엘,1
방문,1
두번째,1
연기,1
초심,1
최고,1
존중,1
재계,1
신년사,1
책임,1
경영,1
목소리,1
트럼프,1
새해,1
트위터,1
파키스탄,1
원조,1
중단,1
위협,1
제주,1
유적지,1
추가,1
조사,1
무술년,1
세대,1
소비,1
자기계발,1
지고,1
자기만족,1
대통령,1
안전,1
감사원,1
감사,1
강화,1
금융,1
지주,1
회장,1
올해,1
성장,1
워드,1
디지털,1
글로벌,1
혁신,1
대국민,1
운전면허,1
특별사면,1
국민,1
통합,1
운전면허,1
행정처분,1
특별,1
대통령,1
남북관계,1
개선,1
북핵문제,1
해결,1
김명수,1
대법원,1
외부,1
반영,1
중립,1
기구,1
설치,1
홍준표,1
북한,1
인공,1
달력,1
비판,1
당한,1
그림,1
그린,1
사람,1
올해,1
중도,1
대출,1
보증,1
비율,1
한도,1
지난해,1
임대주택,1
올해,1
공급,1
예정,1
발언,1
김성태,1
원내대표,1
문재인,1
대통령,1
최재형,1
감사원장,1
임명장,1
수여,1
문재인,1
대통령,1
신임,1
최재형,1
감사원장,1
발언,1
홍준표,1
대표,1
대화,1
홍준표,1
김성태,1
정당,1
유승민,1
발언,1
유승민,1
대표,1
발언,1
새해,1
우원식,1
원내대표,1
발언,1
국민의당,1
가즈,1
시무,1
발언,1
안철수,1
정당,1
유승민,1
대표,1
발언,1
애플,1
배터리,1
교체,1
안내,1
불쑥,1
시행,1
대화,1
안철수,1
대표,1
연호,1
사무,1
부총,1
안철수,1
대표,1
시무,1
국민의례,1
사골,1
몇번,1
우려,1
이주열,1
총재,1
기준금리,1
추가,1
인상,1
경기,1
지표,1
고려,1
결정,1
신동빈,1
롯데,1
회장,1
중요시,1
사회,1
고객,1
가치,1
나이,1
예방,1
혈관,1
치매,1
일종,1
의원,1
모자,1
보건,1
일부,1
개정,1
법률,1
발의,1
제주항공,1
항공권,1
예매,1
인천,1
세부,1
최문순,1
선수단,1
평창,1
참가,1
스포츠,1
데탕트,1
정부,1
재벌,1
개혁,1
점수,1
공정위,1
고삐,1
죈다,1
대통령,1
정의롭,1
신년,1
인사,1
홍준표,1
안철수,1
유승민,1
불참,1
손경,1
그룹,1
회장,1
글로벌,1
시장,1
공격,1
사업,1
확장,1
성장,1
가속,1
부산,1
기장,1
삼각산,1
진화,1
피해,1
추정,1
준희,1
사인,1
타살,1
잠정,1
결론,1
자백,1
위해,1
수사,1
집중,1
김기남,1
삼성,1
사장,1
초심,1
변화,1
도전,1
국민의당,1
이태규,1
중순,1
통합,1
완료,1
구본준,1
부회장,1
혁신,1
세계,1
최고,1
제조,1
역량,1
확보,1
김성태,1
정권,1
망나니,1
외교,1
비즈니스,1
위기,1
문재인,1
대통령,1
현충원,1
방명록,1
국민,1
주인,1
나라,1
인천공항,1
지난해,1
이용,1
사상,1
흑자,1
전문가,1
아파트,1
사전,1
검사,1
무료,1
대행,1
홍준표,1
청와대,1
김정은,1
신년사,1
환영,1
북한,1
책략,1
필로폰,1
투약,1
환각,1
상태,1
모텔,1
투신,1
소동,1
남성,1
구속,1
아버지,1
아들,1
검거,1
금연,1
요령,1
새해,1
금연,1
성공,1
상황,1
노하우,1
새해,1
첫날,1
부산,1
단칸,1
방서,1
남성,1
홀로,1
사망,1
올해,1
상습,1
교통법규,1
위반,1
유치장,1
신세,1
현충탑,1
이동,1
문재인,1
대통령,1
대통령,1
현충원,1
참배,1
건국,1
준비,1
문재인,1
대통령,1
현충원,1
참배,1
쌍용차,1
프리미엄,1
픽업,1
트럭,1
스턴,1
스포츠,1
판매,1
고흥,1
오리,1
농가,1
전남,1
전역,1
이동,1
명령,1
부산,1
기장군,1
삼각산,1
확산,1
산림청,1
부산,1
삼각산,1
산불,1
일출,1
동시,1
헬기,1
투입,1
진화,1
미국,1
김정은,1
신년사,1
한국,1
통일,1
대응,1
위해,1
접촉,1
북한,1
평창,1
참가,1
긴장,1
완화,1
신호탄,1
경제,1
전문가,1
부동산,1
유세,1
주식,1
투자,1
유망,1
부동산,1
유지,1
비트코인,1
법정,1
화폐,1
대체,1
성장,1
최저임금,1
믹스,1
속도,1
조절,1
필요,1
부담,1
복지로,1
전문가,1
추가,1
증세,1
환갑,1
개띠,1
여의도,1
전성,1
시대,1
사드,1
해빙,1
비주,1
약진,1
코스피,1
훌쩍,1
싼타페,1
에퀴,1
주요,1
기업,1
신규,1
채용,1
규모,1
지난해,1
동일,1
경영,1
위협,1
요소,1
통상,1
압력,1
최저임금,1
인상,1
옥바라지,1
매점,1
감빵,1
생활,1
현실,1
대통령,1
올림픽,1
성공,1
한반도,1
평화,1
대한민국,1
소망,1
부산,1
기장,1
대형,1
산불,1
진화,1
판문점,1
열자,1
보호관찰,1
도로,1
투신,1
남북,1
연락,1
채널,1
개월,1
복원,1
통화,1
통신,1
점검,1
김용화,1
감독,1
천만,1
어머니,1
생활,1
동반,1
가족,1
행방불명,1
신청,1
피해자,1
인정,1
부안,1
양잠,1
울릉도,1
밭농사,1
국가,1
농업,1
유산,1
지정,1
김도진,1
기업은행,1
강원,1
지역,1
영업,1
방문,1
대통령,1
거제,1
다시,1
조선,1
강국,1
도약,1
확신,1
경제,1
신년,1
인사,1
이낙연,1
총리,1
임종석,1
임태희,1
전화,1
해명,1
약점,1
홍준표,1
적반하장,1
국정조사,1
인간,1
데이터,1
기업,1
세상,1
통일부,1
조평통,1
고위,1
창구,1
유력,1
북핵,1
해법,1
이산,1
상봉,1
희망,1
솔솔,1
남북,1
통로,1
다시,1
빅데이터,1
통제,1
세기,1
정보,1
인권,1
자율,1
행차,1
응답,1
고속,1
연결,1
네트워크,1
현실,1
김정은,1
진정,1
구심,1
트럼프,1
내겐,1
단추,1
민주당,1
추미애,1
개헌,1
협상,1
난항,1
대통령,1
홍준표,1
정부,1
그것,1
능력,1
박원순,1
도전,1
안철수,1
정면,1
승부,1
국민의당,1
통합,1
반대파,1
신당,1
추진,1
분당,1
수순,1
보호관찰,1
도로,1
투신,1
안희정,1
충남,1
박수현,1
양승조,1
여당,1
공천,1
경쟁,1
평창,1
간다,1
웃음,1
구름,1
본래,1
마음,1
비료,1
공장,1
장점,1
마을,1
비극,1
시작,1
차량,1
테러,1
방지,1
방어,1
기둥,1
뉴욕,1
유명,1
그림책,1
전집,1
엄마,1
앞치마,1
부로,1
강원도,1
인근,1
포천,1
평창,1
올림픽,1
비상,1
돈줄,1
압박,1
무기,1
트럼프,1
외교,1
시민,1
디자인,1
전자현미경,1
곤충,1
식물,1
사진,1
안성,1
덕이,1
축제,1
우수,1
축제,1
선정,1
경기,1
버스,1
운행,1
노선,1
확대,1
인제,1
빙어,1
축제,1
인천공항,1
터미널,1
운행,1
종료,1
덩크,1
버튼,1
승리,1
서초구,1
맞춤,1
모자,1
보건,1
지소,1
프로야구,1
통합,1
마케팅,1
추진,1
작년,1
제주,1
관광객,1
믿음,1
올해,1
미국,1
진출,1
핫식스,1
이정은,1
드론,1
토지,1
주택,1
관리,1
본격,1
투입,1
효성,1
그룹,1
지주사,1
체제,1
전환,1
조현준,1
회장,1
지배,1
프리미엄,1
티룸,1
오설록,1
하우스,1
신용산,1
개점,1
인사,1
부고,1
스피드스케이팅,1
속도,1
전쟁,1
등장,1
눈치,1
게임,1
가사,1
광화문,1
상권,1
강남,1
전국,1
촛불집회,1
코스,1
교대,1
팔뚝,1
밴드,1
실격,1
천만,1
영화,1
지옥,1
가지,1
흥행,1
비결,1
김용화,1
감독,1
영화,1
위로,1
요즘,1
어머니,1
생각,1
간절,1
요즘,1
소비,1
트렌드,1
행복,1
천년,1
간절곶,1
새해,1
첫날,1
해돋이,1
남성,1
이웃,1
유치원,1
성폭행,1
혐의,1
구속,1
롯데,1
월드,1
어드벤처,1
청년,1
일본,1
한국,1
충주,1
부부,1
살해,1
혐의,1
아들,1
구속,1
통일,1
올림픽,1
가상,1
화폐,1
보산동,1
외국인,1
관광,1
특구,1
거기,1
맞이,1
유래,1
무쇠,1
아무,1
일도,1
생기지,1
홍준표,1
유승민,1
안보,1
부정,1
외부,1
효과,1
과잉,1
사회,1
트럼프,1
한국,1
역할,1
존중,1
남북관계,1
개선,1
신호,1
조평통,1
버락,1
오바마,1
대통령,1
취임,1
뱃멀미,1
비교,1
플랫폼,1
창동,1
주인공,1
스페이스,1
공감,1
포천,1
군부,1
미군,1
발사,1
추정,1
탄두,1
발견,1
국민의당,1
통합,1
반대파,1
개혁,1
신당,1
검토,1
전당대회,1
저지,1
병행,1
미국,1
일리노이,1
대학교,1
한국,1
동문회,1
신년,1
신간,1
유머,1
위트,1
신정호,1
수필집,1
그리움,1
잡고,1
홍준표,1
검찰,1
박근혜,1
대통령,1
추가,1
기소,1
국정원,1
특활비,1
수수,1
혐의,1
시흥,1
센트럴,1
트리,1
눈길,1
북유럽,1
외관,1
적용,1
대구,1
시립,1
교향악단,1
상임,1
지휘자,1
코바체프,1
명예,1
민증,1
세월,1
흔적,1
주름,1
생활,1
습관,1
예방,1
경제,1
신년인사,1
추미애,1
대표,1
경제,1
신년인사,1
정재,1
인사,1
충남,1
청소년,1
